lot_id,node,demand
lot_1,4G,0.0169952
lot_1,5G,0.00060065
lot_2,4G,0.0170189
lot_2,5G,0.000590884
lot_3,4G,0.0170056
lot_3,5G,0.000583829
lot_4,4G,0.0170099
lot_4,5G,0.000604742
lot_5,4G,0.016989
lot_5,5G,0.000602064
lot_6,4G,0.0170054
lot_6,5G,0.000598246
lot_7,4G,0.0169951
lot_7,5G,0.000598346
lot_8,4G,0.0169907
lot_8,5G,0.000604771
lot_9,4G,0.0169986
lot_9,5G,0.000596505
lot_10,4G,0.016982
lot_10,5G,0.000635214
lot_11,4G,0.0169954
lot_11,5G,0.000595306
lot_12,4G,0.0169872
lot_12,5G,0.00061794
lot_13,4G,0.0170009
lot_13,5G,0.000582761
lot_14,4G,0.0169944
lot_14,5G,0.000609049
lot_15,4G,0.0170104
lot_15,5G,0.0005881
lot_16,4G,0.0170067
lot_16,5G,0.000593977
lot_17,4G,0.017006
lot_17,5G,0.000604457
lot_18,4G,0.0170247
lot_18,5G,0.000597034
lot_19,4G,0.0170089
lot_19,5G,0.000607399
lot_20,4G,0.0170092
lot_20,5G,0.000605795
lot_21,4G,0.0169959
lot_21,5G,0.000602445
lot_22,4G,0.0170122
lot_22,5G,0.000622323
lot_23,4G,0.0170139
lot_23,5G,0.000591228
lot_24,4G,0.0169867
lot_24,5G,0.000584588
lot_25,4G,0.0170097
lot_25,5G,0.000600096
lot_26,4G,0.016999
lot_26,5G,0.000611733
lot_27,4G,0.017
lot_27,5G,0.000590396
lot_28,4G,0.0170254
lot_28,5G,0.000588679
lot_29,4G,0.0169949
lot_29,5G,0.000581479
lot_30,4G,0.017005
lot_30,5G,0.000577795
lot_31,4G,0.0170041
lot_31,5G,0.000588994
lot_32,4G,0.0169969
lot_32,5G,0.00059897
lot_33,4G,0.0169891
lot_33,5G,0.000589715
lot_34,4G,0.0169933
lot_34,5G,0.000599223
lot_35,4G,0.0170207
lot_35,5G,0.000601247
lot_36,4G,0.017005
lot_36,5G,0.000604677
lot_37,4G,0.0170079
lot_37,5G,0.0005903
lot_38,4G,0.0170032
lot_38,5G,0.000605597
lot_39,4G,0.0169952
lot_39,5G,0.000619863
lot_40,4G,0.0170149
lot_40,5G,0.000598437
lot_41,4G,0.0169859
lot_41,5G,0.000613114
lot_42,4G,0.016999
lot_42,5G,0.000593927
lot_43,4G,0.0170017
lot_43,5G,0.000591496
lot_44,4G,0.0170041
lot_44,5G,0.000613765
lot_45,4G,0.0170022
lot_45,5G,0.000604405
lot_46,4G,0.0170238
lot_46,5G,0.000601326
lot_47,4G,0.0170008
lot_47,5G,0.00061975
lot_48,4G,0.0169939
lot_48,5G,0.000614695
lot_49,4G,0.01698
lot_49,5G,0.000597158
lot_50,4G,0.0170106
lot_50,5G,0.000595294
lot_51,4G,0.0170086
lot_51,5G,0.000600113
lot_52,4G,0.0169919
lot_52,5G,0.00058564
lot_53,4G,0.0169674
lot_53,5G,0.000609786
lot_54,4G,0.0170103
lot_54,5G,0.000596496
lot_55,4G,0.0170032
lot_55,5G,0.000600423
lot_56,4G,0.0170164
lot_56,5G,0.000596673
lot_57,4G,0.0169925
lot_57,5G,0.000590601
lot_58,4G,0.0170043
lot_58,5G,0.00059885
lot_59,4G,0.0170007
lot_59,5G,0.000599993
lot_60,4G,0.0170013
lot_60,5G,0.000584608
lot_61,4G,0.0170121
lot_61,5G,0.000611753
lot_62,4G,0.0169993
lot_62,5G,0.000619259
lot_63,4G,0.0169948
lot_63,5G,0.000613717
lot_64,4G,0.0169943
lot_64,5G,0.000613155
lot_65,4G,0.0170052
lot_65,5G,0.000591948
lot_66,4G,0.0169999
lot_66,5G,0.000596677
lot_67,4G,0.0170073
lot_67,5G,0.000570529
lot_68,4G,0.0170156
lot_68,5G,0.000615921
lot_69,4G,0.0170147
lot_69,5G,0.00061484
lot_70,4G,0.0170046
lot_70,5G,0.000592901
lot_71,4G,0.0169937
lot_71,5G,0.000597634
lot_72,4G,0.0169909
lot_72,5G,0.000624163
lot_73,4G,0.0170078
lot_73,5G,0.000609983
lot_74,4G,0.017004
lot_74,5G,0.000596944
lot_75,4G,0.0169932
lot_75,5G,0.000608952
lot_76,4G,0.0170254
lot_76,5G,0.00060704
lot_77,4G,0.0169946
lot_77,5G,0.000598821
lot_78,4G,0.0170012
lot_78,5G,0.00060478
lot_79,4G,0.016999
lot_79,5G,0.000597956
lot_80,4G,0.0169997
lot_80,5G,0.000593399
lot_81,4G,0.0169914
lot_81,5G,0.000599039
lot_82,4G,0.0170042
lot_82,5G,0.000594187
lot_83,4G,0.0169995
lot_83,5G,0.000601972
lot_84,4G,0.0169931
lot_84,5G,0.000598393
lot_85,4G,0.0169787
lot_85,5G,0.000609489
lot_86,4G,0.0169986
lot_86,5G,0.000595454
lot_87,4G,0.0170123
lot_87,5G,0.000591818
lot_88,4G,0.0170154
lot_88,5G,0.000611641
lot_89,4G,0.0170033
lot_89,5G,0.000603119
lot_90,4G,0.0170066
lot_90,5G,0.000593676
lot_91,4G,0.0170065
lot_91,5G,0.000587964
lot_92,4G,0.0170039
lot_92,5G,0.000597012
lot_93,4G,0.017008
lot_93,5G,0.000595271
lot_94,4G,0.0169878
lot_94,5G,0.000616501
lot_95,4G,0.0169974
lot_95,5G,0.000596285
lot_96,4G,0.0170077
lot_96,5G,0.000587441
lot_97,4G,0.0169937
lot_97,5G,0.000585476
lot_98,4G,0.0170018
lot_98,5G,0.00060025
lot_99,4G,0.0169884
lot_99,5G,0.000603891
lot_100,4G,0.0169979
lot_100,5G,0.000613824
lot_101,4G,0.0170017
lot_101,5G,0.000608129
lot_102,4G,0.0170035
lot_102,5G,0.000586245
lot_103,4G,0.0170117
lot_103,5G,0.00060356
lot_104,4G,0.0169992
lot_104,5G,0.000604454
lot_105,4G,0.016992
lot_105,5G,0.000582201
lot_106,4G,0.0169918
lot_106,5G,0.000596728
lot_107,4G,0.0170086
lot_107,5G,0.000610784
lot_108,4G,0.016994
lot_108,5G,0.000596992
lot_109,4G,0.0170047
lot_109,5G,0.000594646
lot_110,4G,0.017003
lot_110,5G,0.000587449
lot_111,4G,0.0170076
lot_111,5G,0.000607513
lot_112,4G,0.0170039
lot_112,5G,0.000598214
lot_113,4G,0.0169954
lot_113,5G,0.000598867
lot_114,4G,0.0169999
lot_114,5G,0.000596749
lot_115,4G,0.0170033
lot_115,5G,0.000593151
lot_116,4G,0.0170123
lot_116,5G,0.000583589
lot_117,4G,0.0170036
lot_117,5G,0.000579745
lot_118,4G,0.0169822
lot_118,5G,0.000602103
lot_119,4G,0.0170226
lot_119,5G,0.000600367
lot_120,4G,0.016986
lot_120,5G,0.000610723
lot_121,4G,0.0169937
lot_121,5G,0.00060142
lot_122,4G,0.0170006
lot_122,5G,0.00060085
lot_123,4G,0.0169913
lot_123,5G,0.000602966
lot_124,4G,0.0170037
lot_124,5G,0.000601057
lot_125,4G,0.017002
lot_125,5G,0.000609127
lot_126,4G,0.0170072
lot_126,5G,0.000602684
lot_127,4G,0.0170109
lot_127,5G,0.000596036
lot_128,4G,0.0170089
lot_128,5G,0.000601202
lot_129,4G,0.0170136
lot_129,5G,0.000593546
lot_130,4G,0.0169985
lot_130,5G,0.000586733
lot_131,4G,0.0169947
lot_131,5G,0.000604198
lot_132,4G,0.0170074
lot_132,5G,0.000598287
lot_133,4G,0.0169967
lot_133,5G,0.000618499
lot_134,4G,0.0170036
lot_134,5G,0.000592195
